STORE,ZONE_ID,NAME,CURRENCY_CODE
3755,5,UK National,GBP
3756,5,UK National,GBP
3757,5,UK National,GBP
3758,5,UK National,GBP
3759,5,UK National,GBP
3761,5,UK National,GBP
3762,5,UK National,GBP
3764,5,UK National,GBP
3765,5,UK National,GBP
3766,5,UK National,GBP
3767,5,UK National,GBP
3768,5,UK National,GBP
3769,5,UK National,GBP
3770,5,UK National,GBP
3771,5,UK National,GBP
3774,5,UK National,GBP
3775,5,UK National,GBP
3776,5,UK National,GBP
3777,5,UK National,GBP
3778,5,UK National,GBP
3779,5,UK National,GBP
3780,5,UK National,GBP
3781,5,UK National,GBP
3782,5,UK National,GBP
3783,5,UK National,GBP
3784,5,UK National,GBP
3786,5,UK National,GBP
3787,5,UK National,GBP
3788,5,UK National,GBP
3789,5,UK National,GBP
3790,5,UK National,GBP
3792,5,UK National,GBP
3793,5,UK National,GBP
3797,5,UK National,GBP
3799,5,UK National,GBP
3800,5,UK National,GBP
3801,5,UK National,GBP
3802,5,UK National,GBP
3803,5,UK National,GBP
3804,5,UK National,GBP
3805,5,UK National,GBP
3806,5,UK National,GBP
3807,5,UK National,GBP
3808,5,UK National,GBP
3810,5,UK National,GBP
3811,5,UK National,GBP
3812,5,UK National,GBP
3813,5,UK National,GBP
3815,5,UK National,GBP
3816,5,UK National,GBP
3817,5,UK National,GBP
3818,5,UK National,GBP
3819,5,UK National,GBP
3820,5,UK National,GBP
3821,5,UK National,GBP
3822,5,UK National,GBP
3823,5,UK National,GBP
3824,5,UK National,GBP
3825,5,UK National,GBP
3826,5,UK National,GBP
3827,5,UK National,GBP
3828,5,UK National,GBP
3829,5,UK National,GBP
3830,5,UK National,GBP
3831,5,UK National,GBP
3832,5,UK National,GBP
3833,5,UK National,GBP
3834,5,UK National,GBP
3835,5,UK National,GBP
3836,5,UK National,GBP
3837,5,UK National,GBP
3838,5,UK National,GBP
3839,5,UK National,GBP
3840,5,UK National,GBP
3841,5,UK National,GBP
3842,5,UK National,GBP
3843,5,UK National,GBP
3844,5,UK National,GBP
3845,5,UK National,GBP
3846,5,UK National,GBP
3848,5,UK National,GBP
3850,5,UK National,GBP
3851,5,UK National,GBP
3854,5,UK National,GBP
3855,5,UK National,GBP
3856,5,UK National,GBP
3858,5,UK National,GBP
3859,5,UK National,GBP
3860,5,UK National,GBP
3863,5,UK National,GBP
3869,5,UK National,GBP
3871,5,UK National,GBP
3872,5,UK National,GBP
3873,5,UK National,GBP
3874,5,UK National,GBP
3875,5,UK National,GBP
3876,5,UK National,GBP
3877,5,UK National,GBP
3878,5,UK National,GBP
3879,5,UK National,GBP
3880,5,UK National,GBP
3881,5,UK National,GBP
3882,5,UK National,GBP
3883,5,UK National,GBP
3884,5,UK National,GBP
3885,5,UK National,GBP
3886,5,UK National,GBP
3887,5,UK National,GBP
3888,5,UK National,GBP
3889,5,UK National,GBP
3890,5,UK National,GBP
3891,5,UK National,GBP
3892,5,UK National,GBP
3893,5,UK National,GBP
3894,5,UK National,GBP
3895,5,UK National,GBP
3896,5,UK National,GBP
3898,5,UK National,GBP
3899,5,UK National,GBP
3900,5,UK National,GBP
3901,5,UK National,GBP
3902,5,UK National,GBP
3903,5,UK National,GBP
3904,5,UK National,GBP
3905,5,UK National,GBP
3906,5,UK National,GBP
3907,5,UK National,GBP
3908,5,UK National,GBP
3909,5,UK National,GBP
3911,5,UK National,GBP
3912,5,UK National,GBP
3913,5,UK National,GBP
3914,5,UK National,GBP
3915,5,UK National,GBP
3916,5,UK National,GBP
3917,5,UK National,GBP
3919,5,UK National,GBP
3920,5,UK National,GBP
3921,5,UK National,GBP
3922,5,UK National,GBP
3923,5,UK National,GBP
3924,5,UK National,GBP
3925,5,UK National,GBP
3926,5,UK National,GBP
3927,5,UK National,GBP
3929,5,UK National,GBP
3930,5,UK National,GBP
3931,5,UK National,GBP
3932,5,UK National,GBP
3933,5,UK National,GBP
3935,5,UK National,GBP
3936,5,UK National,GBP
3937,5,UK National,GBP
3938,5,UK National,GBP
3940,5,UK National,GBP
3941,5,UK National,GBP
3942,5,UK National,GBP
3943,5,UK National,GBP
3944,5,UK National,GBP
3945,5,UK National,GBP
3946,5,UK National,GBP
3947,5,UK National,GBP
3948,5,UK National,GBP
3949,5,UK National,GBP
3950,5,UK National,GBP
3951,5,UK National,GBP
3952,5,UK National,GBP
3953,5,UK National,GBP
3954,5,UK National,GBP
3955,5,UK National,GBP
3956,5,UK National,GBP
3957,5,UK National,GBP
3958,5,UK National,GBP
3959,5,UK National,GBP
3960,5,UK National,GBP
3961,5,UK National,GBP
3962,5,UK National,GBP
3963,5,UK National,GBP
3965,5,UK National,GBP
3966,5,UK National,GBP
3967,5,UK National,GBP
3968,5,UK National,GBP
3969,5,UK National,GBP
3970,5,UK National,GBP
3971,5,UK National,GBP
3972,5,UK National,GBP
